run_id,score,best_epoch,num_epochs_trained,best_val_loss,test_loss,test_f1_micro,test_f1_macro,test_precision_micro,test_recall_micro,val_f1_micro,val_f1_macro,model_path,summary_path,training_log_path,num_sites,physical_dim,bond_dim,dropout_rate,batch_size,learning_rate,weight_decay,num_epochs,patience,lr_scheduler_factor,lr_scheduler_patience
run_00057,0.35136179172397397,1,1,0.8906392112386123,1.2695093658344048,0.3519246175831495,0.24500298101044504,0.24064151472515147,0.654674650236508,0.35136179172397397,0.24473004594298153,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/best_model.pt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00057/summary.txt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00057/training_log.csv,4,360,256,0.2,256,0.001,1e-06,1,20,0.7,3
run_00078,0.3511800122239069,1,1,0.9588022041239168,1.0807978315455795,0.35204868739784556,0.2417732292205365,0.2367228117348545,0.6864914209947542,0.3511800122239069,0.2412713330174664,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/best_model.pt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00078/summary.txt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00078/training_log.csv,4,450,128,0.1,512,0.001,1e-06,1,20,0.7,3
run_00066,0.35097835441048253,1,1,0.9350365381211673,1.1652781531722856,0.3521806266586136,0.22965058302686417,0.22425103233312682,0.8199303366884672,0.35097835441048253,0.22902907052475185,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/best_model.pt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00066/summary.txt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00066/training_log.csv,4,360,512,0.1,512,0.001,1e-06,1,20,0.7,3
run_00092,0.350804877547666,1,1,0.9860790371422147,0.9937577176198497,0.351574851651849,0.22604117567712717,0.3431980237213567,0.3603708361175858,0.350804877547666,0.22765495502836428,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/best_model.pt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00092/summary.txt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00092/training_log.csv,4,450,256,0.1,2048,0.001,1e-06,1,20,0.7,3
run_00224,0.35036729013395285,1,1,0.9044674023678427,1.022817239126478,0.3498556541806411,0.21163247663351265,0.30510060649723375,0.4099980532156143,0.35036729013395285,0.211667766037703,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/best_model.pt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00224/summary.txt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00224/training_log.csv,6,240,128,0.1,2048,0.001,1e-06,1,20,0.7,3
run_00181,0.3503180552493406,1,1,0.9343133115169392,1.1606581349430547,0.3508484813856489,0.243736866109077,0.23659730542492857,0.6784832971161283,0.3503180552493406,0.24356768328047104,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/best_model.pt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00181/summary.txt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00181/training_log.csv,5,450,128,0.0,256,0.001,1e-06,1,20,0.7,3
run_00278,0.35020378995653045,1,1,0.9675013615170556,1.0420330544878271,0.3512323664410577,0.2193849232186193,0.23990073352034877,0.6553744402994891,0.35020378995653045,0.21917558847221388,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/best_model.pt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00278/summary.txt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00278/training_log.csv,6,360,512,0.0,512,0.001,1e-06,1,20,0.7,3
run_00083,0.35020204505668456,1,1,0.9398161545353647,1.2291640003170097,0.35162370715729524,0.23923760985903475,0.2359646438279717,0.6896667841752737,0.35020204505668456,0.23859307544639693,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/best_model.pt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00083/summary.txt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00083/training_log.csv,4,450,128,0.2,1024,0.001,1e-06,1,20,0.7,3
run_00228,0.34905495607007525,1,1,0.921976303317765,0.9321343694698883,0.35040869505003275,0.21738120770749655,0.27399995549588707,0.48591212110051196,0.34905495607007525,0.21638184563190782,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/best_model.pt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00228/summary.txt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00228/training_log.csv,6,240,128,0.2,2048,0.001,1e-06,1,20,0.7,3
run_00179,0.3485783354223276,1,1,0.9465231368713116,1.1470977706018182,0.3478437326338306,0.206009808557309,0.2691576883572251,0.49154201108088624,0.3485783354223276,0.20614001271435542,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/best_model.pt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00179/summary.txt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00179/training_log.csv,5,360,512,0.2,1024,0.001,1e-06,1,20,0.7,3
