trial_id,num_sites,physical_dim,bond_dim,dropout_rate,apply_snv,target_length,batch_size,num_epochs,learning_rate,weight_decay,patience,min_delta,num_workers,pin_memory,use_amp,lr_scheduler_factor,lr_scheduler_patience,lr_scheduler_min_lr,threshold_metric,best_epoch,best_val_f1_micro,best_val_f1_macro,best_val_loss,test_f1_micro,test_f1_macro,test_loss
317,4,360,256,0.4,True,1800,1024,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,95,0.7098430813124108,0.28511562144876945,2.21244740486145,0.7118840579710145,0.28582487725398253,5.6807026863098145
318,4,360,256,0.4,True,1800,1024,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,37,0.7293785310734463,0.3287146122059122,1.6307322978973389,0.7053417576105686,0.29097698272848976,4.288719177246094
319,4,360,256,0.4,True,1800,1024,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,121,0.72513170127053,0.2516195184827033,1.1340858936309814,0.7196757093857188,0.2591271760846344,2.049405813217163
320,4,360,256,0.4,True,1800,1024,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,28,0.585432266848196,0.2944842285661492,0.9072710275650024,0.5764732859435909,0.2737363931883401,1.3727705478668213
321,4,360,256,0.4,True,1800,2048,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,79,0.690846286701209,0.2920753070821067,1.7316150665283203,0.6919976971790444,0.2881044339245415,3.672107458114624
322,4,360,256,0.4,True,1800,2048,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,55,0.7273231622746186,0.32550762229705216,1.5383524894714355,0.7142051860202931,0.3163806900656216,3.3682100772857666
323,4,360,256,0.4,True,1800,2048,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,136,0.6933486898934639,0.2560280156050784,0.9953359365463257,0.6930055604331284,0.25221837041834494,1.708908200263977
324,4,360,256,0.4,True,1800,2048,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,51,0.5801389822909662,0.3071742542395943,0.9169980883598328,0.5657388549445576,0.25902256477389546,1.4725834131240845
325,5,200,64,0.2,True,1800,512,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,96,0.6955772544514647,0.27776992674946605,2.8067424297332764,0.7004608294930875,0.30659104660882824,7.412156581878662
326,5,200,64,0.2,True,1800,512,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,37,0.7149703975190301,0.3007288560246681,2.1681056022644043,0.7004243281471004,0.26831756235822063,5.798986434936523
